Wavelength	I1	I1 dark	R1	R1dark	XCorrect	I1c	R1c	I1c/R1c	Abs	Percent T
nm	uA	uA	uA	uA		uA	uA	uA/uA	OD	T*100
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp	Dark subtracted Abs Detector	Corrected Ref Detector	Corrected Intensity 	-Log(T)	% Transmittance
640	0.894095032860666		1.09978472601789		1.00236213207245	0.891859165923379	1.10238255739245	0.809028735027306	-4.06749125904105E-4	100.093701319672
638	0.917319530401579		1.12926124098048		1.00166118144989	0.915083663464293	1.1311371434103	0.808994443154238	-3.93792410294119E-4	100.090715174715
636	0.941893750461889		1.16043038288944		1.00077903270721	0.939657883524603	1.16133439072113	0.809119140044687	-3.55021005654434E-4	100.081780029178
634	0.964492123549926		1.18925941297256		0.999723374843597	0.962256256612639	1.18893042851611	0.809346142998142	-3.35205045758579E-4	100.077213608517
632	0.985335911496235		1.21591410318306		0.998525381088257	0.983100044558949	1.21412108787257	0.809721579156142	-2.93949851366286E-4	100.06770736568
630	1.00592877922119		1.24231706375214		0.997326076030731	1.00369291228391	1.23899519700552	0.810086201068167	-2.81068706003839E-4	100.06473940817
628	1.02816565845175		1.27076262591312		0.995982348918915	1.02592979151446	1.26565713971013	0.810590608882773	-2.90212531443322E-4	100.066846237016
626	1.05205563309712		1.30113916810319		0.994540870189667	1.04981976615984	1.29403607512578	0.81127550177285	-3.34128321234082E-4	100.076965492409
624	1.07477920666167		1.33005050644169		0.993056654930115	1.07254333972439	1.32081550146566	0.812031156913455	-3.65078529177039E-4	100.084097780275
622	1.09210377793785		1.35244325631465		0.991701006889343	1.08986791100056	1.34121933370582	0.812594840837281	-3.5581702998998E-4	100.081963470618
620	1.10609467472314		1.37085758541776		0.990615010261536	1.10385880778586	1.35799209570944	0.812860996226329	-3.20661769623151E-4	100.073862365883
618	1.11687109116521		1.38531320388088		0.990181982517242	1.11463522422792	1.37171216929214	0.812586816083377	-3.21775411707961E-4	100.074118981181
616	1.12678972187227		1.39878205664782		0.990417122840881	1.12455385493498	1.38537769469138	0.811730879776797	-3.14252007317323E-4	100.072385384333
614	1.13726462933868		1.41293215049152		0.991193890571594	1.13502876240139	1.40048971001999	0.810451340185278	-3.25466916918134E-4	100.074969615294
612	1.14826242451709		1.42773214432887		0.992228329181671	1.1460265575798	1.41663627474143	0.80897727808712	-3.49476013472196E-4	100.080502211549
610	1.16111075116347		1.44494337191184		0.993061780929565	1.15887488422618	1.43491803290369	0.807624447984036	-3.55383449870383E-4	100.081863553328
608	1.17727589908565		1.46629782927092		0.993314802646637	1.17504003214836	1.45649533355262	0.806758528557904	-3.49118961358344E-4	100.080419931111
606	1.19631339760108		1.49114761320107		0.992952227592468	1.19407753066379	1.48063833884833	0.80646130748753	-3.52304102957594E-4	100.081153929563
604	1.21857822201256		1.52003393557663		0.992071509361267	1.21634235507528	1.50798235540374	0.806602511439611	-3.74439113088262E-4	100.086254970225
602	1.24244972882823		1.5510490134838		0.990931510925293	1.24021386189095	1.53698333711271	0.806914318421136	-3.29107139658699E-4	100.075808439461
600	1.27010844688553		1.5866894848145		0.989943742752075	1.26787257994825	1.57073332184997	0.80718512958965	-2.97999350064201E-4	100.068640432889
598	1.30079929665398		1.62613361870887		0.989287972450256	1.29856342971669	1.60871442525657	0.807205685067182	-2.94576037938517E-4	100.067851648195
596	1.3348053535531		1.66950578979082		0.988997519016266	1.33256948661581	1.65113707875885	0.807061693277153	-3.32327294247712E-4	100.076550472303
594	1.3689512279096		1.71331351901406		0.989019095897675	1.36671536097231	1.69449978223687	0.806559773745228	-3.26314806944052E-4	100.075164995745
592	1.4020093515568		1.75577816305637		0.989216387271881	1.39977348461951	1.73684452598074	0.805929064853462	-3.29104998011796E-4	100.075807945955
590	1.43462759530417		1.79785437326234		0.989368975162506	1.43239172836688	1.77874133343643	0.805283883294926	-3.02809515381019E-4	100.069748780771
588	1.46473199863565		1.83673984486177		0.989350080490112	1.46249613169836	1.81717870802393	0.804816898437435	-3.1832482577567E-4	100.073323868671
586	1.49256644207161		1.8729405794865		0.98914635181427	1.49033057513432	1.85261233603561	0.804448154719439	-3.11042563773574E-4	100.07164585045
584	1.51804912066194		1.9062652896711		0.988804697990417	1.51581325372465	1.88492406871633	0.804177355938244	-3.19165176345631E-4	100.073517508608
582	1.5433286794176		1.93948720444595		0.988359570503235	1.54109281248031	1.9169107350586	0.803946049388263	-3.33656092499226E-4	100.076856674095
580	1.56962814736765		1.97409169273917		0.987916827201843	1.56739228043036	1.95023839637466	0.803692657956085	-3.19505790100757E-4	100.073595995514
578	1.59685235708834		2.00987374074824		0.987463474273682	1.59461649015106	1.9846769015714	0.803464024239157	-3.10542732507941E-4	100.071530677657
576	1.62468909732417		2.04652488477622		0.987005352973938	1.62245323038688	2.01993101095167	0.803222100948132	-3.12904480776596E-4	100.072074880765
574	1.65401673486473		2.08519033496727		0.986572206020355	1.65178086792745	2.05719082342649	0.802930311139643	-3.38837594850797E-4	100.078050683191
572	1.6827379965814		2.1229938823673		0.986202597618103	1.68050212964411	2.09370207620546	0.802646254566353	-3.2607641732281E-4	100.075110063262
570	1.712844400927		2.16272883751201		0.985956788063049	1.71060853398971	2.13235717277349	0.802214823966274	-3.18370088004649E-4	100.073334298327
568	1.74073320133389		2.19969799113532		0.985915243625641	1.7384973343966	2.16871577552205	0.801625253995355	-3.19753744212914E-4	100.073653131093
566	1.76854309408259		2.23666395966249		0.986069560050964	1.7663072271453	2.20550624137445	0.800862493159192	-3.08084538326894E-4	100.070964254254
564	1.79986529385226		2.27835496760888		0.98643833398819	1.79762942691498	2.24745667316805	0.79985053699879	-2.7562612427454E-4	100.063485403957
562	1.8320935018252		2.32085168093066		0.986926913261414	1.82985763488791	2.29051098028205	0.798886209514081	-2.96221846375162E-4	100.068230867442
560	1.86674848966749		2.36643875631942		0.987455606460571	1.86451262273021	2.33675321195394	0.797907375580816	-3.29620406091519E-4	100.075926713088
558	1.90321791889001		2.41456101424011		0.987996757030487	1.90098205195272	2.3855784463993	0.796864196531448	-3.11940534615896E-4	100.071852764231
556	1.93785333275777		2.46026033046376		0.988564491271973	1.93561746582049	2.43212599665629	0.795854108085515	-3.066425074818E-4	100.070631979304
554	1.9748139264352		2.50900748133568		0.989157021045685	1.97257805949792	2.48180236069092	0.794816739133396	-3.22875246968553E-4	100.074372415633
552	2.010989059629		2.5568174270581		0.989745855331421	2.00875319269171	2.53059944593831	0.793785518255692	-3.31722939559813E-4	100.076411208064
550	2.04877415610136		2.60665735136316		0.990298986434937	2.04653828916408	2.58137012770354	0.79281086706645	-3.11939620551275E-4	100.071852553608
548	2.09032070228451		2.66220330404085		0.990660965442657	2.08808483534722	2.63734089004922	0.791738695299362	-3.04270805208725E-4	100.070085490441
546	2.13119080991868		2.71581138675933		0.990815043449402	2.12895494298139	2.69086677183498	0.791178130877731	-3.21387692319783E-4	100.074029639362
544	2.17133852798241		2.76870070821266		0.990794599056244	2.16910266104513	2.74321370276306	0.790715888762269	-2.76715808009533E-4	100.063736472515
542	2.21241428465422		2.82263082368226		0.990690350532532	2.21017841771693	2.79635311480103	0.790378870972523	-2.85163414478947E-4	100.065682864477
540	2.25389757212368		2.87734743253814		0.990695714950562	2.25166170518639	2.85057576650283	0.789897161003651	-2.86859762931394E-4	100.066073720463
538	2.30347511286608		2.94251145721766		0.990894556045532	2.30123924592879	2.91571857872081	0.789252866419776	-2.67849724511678E-4	100.061693701023
536	2.35341762318335		3.00766146071335		0.991336405277252	2.35118175624606	2.98160429541434	0.788562640542925	-3.05821415776165E-4	100.070442782591
534	2.41065723758804		3.08251146041426		0.991989970207214	2.40842137065076	3.05782044643606	0.787626812247204	-2.78290865864872E-4	100.0640993748
532	2.46998844979087		3.15989063678776		0.992775619029999	2.46775258285358	3.13706237765615	0.786644409888131	-2.64349052677309E-4	100.060887147507
530	2.52941470218262		3.23750713474986		0.993559658527374	2.52717883524533	3.21665647792987	0.78565393991706	-2.32167564786315E-4	100.053472849009
528	2.59308939017939		3.32032063539551		0.994197487831116	2.5908535232421	3.30105442914846	0.784856347827758	-2.88873173693262E-4	100.06653763282
526	2.65720258102898		3.40385625893492		0.994674623012543	2.65496671409169	3.38572943578683	0.784163875006948	-2.65241020387721E-4	100.061092655925
524	2.72076110691684		3.48659245526898		0.995013654232025	2.71852523997955	3.46920709437503	0.783615727175055	-2.4690913843042E-4	100.056869094489
522	2.78519548353737		3.57039221454952		0.995269954204559	2.78295961660009	3.55350409050567	0.783159255123882	-2.36204939240153E-4	100.05440299026
520	2.84972807041894		3.65406721984919		0.99559760093689	2.84749220348165	3.63798055238087	0.782712321432867	-2.5109789600728E-4	100.057834144719
518	2.91373541503998		3.73689038658555		0.995971322059631	2.91149954810269	3.72183565335441	0.782275151101479	-2.76025985355083E-4	100.063577533868
516	2.97747875350222		3.81946239647195		0.996365666389465	2.97524288656494	3.80558119054303	0.781810382592412	-2.61550703374302E-4	100.060242413523
514	3.03782810910543		3.89742639105225		0.996767938137054	3.03559224216814	3.88482966248068	0.781396484763697	-2.65607991698865E-4	100.061177205851
512	3.09623060661846		3.97292285822354		0.997182905673981	3.09399473968117	3.96173075441027	0.780970472624087	-2.6354270109974E-4	100.060701365319
510	3.15603264401472		4.05028406396911		0.997619688510895	3.15379677707743	4.0406431209035	0.780518517154328	-2.28539836684035E-4	100.052637090568
508	3.22662940605234		4.14121848743388		0.998028337955475	3.22439353911505	4.13305339874791	0.780148047468215	-2.45850405582484E-4	100.056625173902
506	3.30367442151972		4.24025022907543		0.998419940471649	3.30143855458243	4.23355037592007	0.779827393423881	-2.28729624018791E-4	100.052680813728
504	3.3759145147557		4.33281347427347		0.998628556728363	3.37367864781842	4.32687126100748	0.779703957966358	-2.09520756173629E-4	100.048255576243
502	3.45295569533728		4.43187229862224		0.998702704906464	3.4507198284	4.42612284705422	0.779625859389919	-1.85992901105458E-4	100.042835619981
500	3.55022840566074		4.55748070031385		0.998041987419128	3.54799253872346	4.54855709038927	0.78002594409996	-1.61526918062802E-4	100.037199864799
498	3.71290392334005		4.7677752908197		0.996963620185852	3.71066805640276	4.75329850879779	0.780651172976988	-1.6379189919195E-4	100.037721591347
